Domain id = 2
Class id = 3
User id = 10

<x>,<y>,<z>,<t>
0.119206,0.035493,0.322049,21.000000
0.119216,0.035735,0.322664,52.000000
0.118979,0.035965,0.323212,100.000000
0.118048,0.036446,0.323637,132.000000
0.115639,0.037174,0.324077,164.000000
0.112309,0.038024,0.324451,194.000000
0.107272,0.039045,0.324713,230.000000
0.101403,0.041082,0.324916,261.000000
0.094651,0.042326,0.325076,293.000000
0.087167,0.042216,0.325200,325.000000
0.079846,0.041114,0.325298,356.000000
0.073594,0.039919,0.325384,388.000000
0.067655,0.034485,0.325452,420.000000
0.062035,0.026209,0.325503,451.000000
0.057745,0.019319,0.325535,501.000000
0.054417,0.010431,0.325532,532.000000
0.051832,0.001299,0.325395,562.000000
0.050264,-0.010901,0.324797,596.000000
0.049951,-0.020306,0.323501,626.000000
0.050232,-0.032288,0.321078,660.000000
0.051988,-0.042121,0.317348,691.000000
0.056130,-0.050111,0.312814,725.000000
0.061964,-0.056860,0.307751,755.000000
0.069067,-0.059660,0.303111,787.000000
0.076401,-0.059744,0.299252,820.000000
0.084162,-0.060170,0.296037,850.000000
0.090551,-0.061312,0.293769,901.000000
0.097192,-0.061317,0.292213,930.000000
0.102471,-0.061896,0.291218,964.000000
0.107793,-0.060348,0.290615,994.000000
0.110410,-0.060708,0.290242,1030.000000
0.112492,-0.060708,0.290129,1061.000000
0.113725,-0.060158,0.290485,1091.000000
0.115216,-0.056000,0.291910,1125.000000
0.116066,-0.052588,0.295188,1155.000000
0.116860,-0.047593,0.298634,1189.000000
0.117823,-0.043607,0.301720,1218.000000
0.118266,-0.041444,0.304377,1253.000000
0.118373,-0.040579,0.306503,1298.000000
