Domain id = 3
Class id = 7
User id = 8

<x>,<y>,<z>,<t>
-0.033228,-0.015538,0.329743,0.000000
-0.033926,-0.015709,0.329748,34.000000
-0.034227,-0.015875,0.329753,66.000000
-0.034696,-0.016178,0.329757,99.000000
-0.035227,-0.017067,0.329760,130.000000
-0.035705,-0.019256,0.329763,161.000000
-0.035730,-0.021172,0.329765,193.000000
-0.035726,-0.023831,0.329767,227.000000
-0.035724,-0.028696,0.329769,257.000000
-0.035041,-0.032515,0.329769,292.000000
-0.033574,-0.036486,0.329768,323.000000
-0.031312,-0.043160,0.329766,369.000000
-0.027839,-0.047389,0.329752,402.000000
-0.023740,-0.051407,0.329716,434.000000
-0.019102,-0.055299,0.329636,468.000000
-0.014182,-0.060388,0.329499,498.000000
-0.009592,-0.063636,0.329250,530.000000
-0.003565,-0.066276,0.328792,562.000000
0.003680,-0.067209,0.328003,592.000000
0.010106,-0.067769,0.326724,626.000000
0.017482,-0.067657,0.325013,660.000000
0.024496,-0.066970,0.323157,692.000000
0.031200,-0.065764,0.321389,722.000000
0.038533,-0.062444,0.320151,770.000000
0.045260,-0.057747,0.318857,802.000000
0.050874,-0.053422,0.317844,835.000000
0.056941,-0.046033,0.317140,865.000000
0.062104,-0.039908,0.316620,900.000000
0.065968,-0.032952,0.316233,930.000000
0.069168,-0.024715,0.315965,960.000000
0.070978,-0.017492,0.315773,993.000000
0.072031,-0.009532,0.315644,1026.000000
0.072319,-0.001313,0.315574,1057.000000
0.072260,0.006125,0.315561,1090.000000
0.071721,0.015977,0.315626,1139.000000
0.069378,0.022333,0.315848,1168.000000
0.065316,0.029603,0.316444,1202.000000
0.060080,0.034774,0.317315,1233.000000
0.054518,0.041415,0.318500,1263.000000
0.048660,0.046282,0.319664,1298.000000
0.041461,0.050307,0.320751,1330.000000
0.035097,0.053312,0.322078,1359.000000
0.029044,0.056099,0.323541,1393.000000
0.021979,0.057701,0.324960,1424.000000
0.015636,0.058698,0.326010,1458.000000
0.009614,0.059106,0.326924,1491.000000
0.004146,0.059396,0.327805,1537.000000
-0.001605,0.058833,0.328504,1569.000000
-0.006627,0.057896,0.329029,1602.000000
-0.010848,0.056004,0.329466,1631.000000
-0.014747,0.054037,0.329802,1667.000000
-0.017982,0.051950,0.330092,1698.000000
-0.020795,0.050044,0.330342,1731.000000
-0.023107,0.047753,0.330533,1762.000000
-0.025253,0.046330,0.330675,1794.000000
-0.027132,0.045348,0.330781,1824.000000
-0.028500,0.045048,0.330864,1858.000000
-0.029453,0.045045,0.330929,1891.000000
-0.030392,0.045190,0.330976,1938.000000
-0.031009,0.045595,0.331011,1968.000000
-0.031540,0.046510,0.331040,2003.000000
-0.032124,0.048146,0.331064,2034.000000
-0.032348,0.051507,0.331084,2065.000000
-0.032965,0.053565,0.331101,2097.000000
-0.033435,0.056564,0.331116,2130.000000
-0.033665,0.061862,0.331129,2162.000000
-0.034005,0.066273,0.331140,2194.000000
-0.034455,0.069817,0.331151,2225.000000
-0.035037,0.073815,0.331160,2258.000000
-0.035561,0.077999,0.331169,2291.000000
-0.036148,0.081754,0.331179,2336.000000
-0.036896,0.085794,0.331193,2368.000000
-0.037580,0.087916,0.331215,2401.000000
-0.038144,0.090184,0.331245,2433.000000
-0.038696,0.091454,0.331280,2464.000000
-0.038921,0.092165,0.331321,2495.000000
-0.039282,0.091583,0.331371,2530.000000
-0.039569,0.089320,0.331438,2561.000000
-0.039601,0.085899,0.331518,2593.000000
-0.039584,0.080799,0.331627,2624.000000
-0.039521,0.075999,0.331775,2657.000000
-0.039464,0.071300,0.331912,2691.000000
-0.039413,0.066790,0.332026,2737.000000
-0.039161,0.061780,0.332115,2769.000000
-0.038932,0.057229,0.332186,2802.000000
-0.038615,0.053691,0.332232,2834.000000
-0.038317,0.050772,0.332256,2865.000000
-0.037783,0.048460,0.332264,2898.000000
-0.037238,0.045436,0.332264,2931.000000
-0.036647,0.043366,0.332256,2962.000000
-0.035838,0.040978,0.332232,2994.000000
-0.034784,0.039693,0.332185,3025.000000
-0.033417,0.038528,0.332078,3056.000000
-0.031483,0.037857,0.331900,3106.000000
-0.028851,0.037303,0.331683,3138.000000
-0.025390,0.036225,0.331479,3168.000000
-0.021581,0.035266,0.331254,3198.000000
-0.017237,0.033879,0.330972,3233.000000
-0.012578,0.032842,0.330734,3263.000000
-0.007785,0.030619,0.330465,3296.000000
-0.002576,0.029409,0.330135,3330.000000
0.002260,0.027082,0.329800,3360.000000
0.007429,0.025225,0.329371,3392.000000
0.012257,0.023452,0.328910,3423.000000
0.016734,0.021548,0.328388,3455.000000
0.020411,0.020374,0.327823,3506.000000
0.024238,0.019184,0.327231,3537.000000
0.026857,0.017561,0.326743,3569.000000
0.029110,0.016621,0.326306,3603.000000
0.030587,0.015879,0.325856,3633.000000
0.031309,0.015389,0.325348,3665.000000
